Conversation ID,DateTime Conversation Started,DateTime Conversation Resolved,Contact ID,Assignee,Number of Outgoing Messages,Number of Incoming Messages,DateTime First Response,Conversation Category,Closing Note Summary,Closed By,First Response Time,Resolution Time,First Assignee,Closed By Source,Closed By Team,Opened By Source,Opened By Channel,First Assignment Timestamp,First Response By,Last Assignment Timestamp,Last Assignee,Time to First Assignment,First Assignment to First Response Time,Last Assignment to Response Time,First Assignment to Close Time,Last Assignment to Close Time,Average Response Time,Number of Assignments,Number of Responses
1741295272371998,2025-03-06 22:07:52,2025-03-07 11:51:08,259869596,475775,0,1,,Spam,spam,475775,,13:43:16,475775,user,23536,contact,355501,2025-03-06 22:08:03,,2025-03-06 22:08:03,475775,00:00:10,,,13:43:05,13:43:05,,1,0
1731081466281998,2024-11-08 16:57:46,2024-11-27 12:45:28,231473325,475779,27,9,,To follow up,she said she will get back maybe september,475779,,19:47:42,475779,user,23536,ctc_ads,345296,2024-11-08 16:57:54,,2024-11-08 16:57:54,475779,00:00:08,,00:06:32,19:47:34,19:47:34,03:04:15,1,6
1736675405571998,2025-01-12 10:50:05,2025-01-18 12:02:32,245610956,475775,4,6,2025-01-13 08:48:13,To follow up,"Lundi lundi",475775,21:58:07,01:12:27,475775,user,23536,contact,322607,2025-01-12 10:50:16,475775,2025-01-12 10:50:16,475775,00:00:11,21:57:58,21:57:56,01:12:15,01:12:15,21:58:07,1,1
1737244354635998,2025-01-19 00:52:34,2025-01-19 15:20:46,247171909,475775,2,6,2025-01-19 01:53:31,To follow up,"Monday",475775,01:00:56,14:28:12,475775,user,23536,contact,322607,2025-01-19 00:52:44,475775,2025-01-19 00:52:44,475775,00:00:10,01:00:47,01:00:46,14:28:02,14:28:02,01:00:56,1,1
1734165402132998,2024-12-14 09:36:42,2024-12-14 11:11:57,238298369,475775,2,2,2024-12-14 11:11:19,To follow up,"..",475775,01:34:37,01:35:15,475775,user,23536,contact,322607,2024-12-14 09:36:42,475775,2024-12-14 09:36:42,475775,,01:34:37,01:34:37,01:35:15,01:35:15,01:34:37,0,1
1740497702816998,2025-02-25 16:35:02,2025-03-04 14:12:36,257604954,475775,10,8,2025-02-25 16:47:30,To follow up,"Perhaps Septembre",475775,00:12:27,21:37:34,475775,user,23536,contact,322607,2025-02-25 16:35:13,475775,2025-02-25 16:35:13,475775,00:00:10,00:12:17,00:12:17,21:37:23,21:37:23,00:22:55,1,4
1740733561221998,2025-02-28 10:06:01,2025-03-04 12:53:04,257768820,475779,21,23,2025-02-28 10:06:28,To follow up,followup,475779,00:00:27,02:47:03,475779,user,23536,contact,322607,2025-02-28 10:06:01,475779,2025-02-28 10:06:01,475779,,00:00:27,00:00:27,02:47:03,02:47:03,08:56:26,0,10
1735602753907998,2024-12-31 00:52:33,2025-01-01 12:19:39,243132684,475779,23,33,2024-12-31 09:48:54,To follow up,follow up april,475779,08:56:20,11:27:05,475779,user,23536,contact,322607,2024-12-31 00:52:45,475779,2024-12-31 00:52:45,475779,00:00:11,08:56:09,08:56:08,11:26:53,11:26:53,01:05:37,1,11
1735750485203998,2025-01-01 17:54:45,2025-01-01 23:22:00,243132684,475779,2,3,2025-01-01 22:19:16,To follow up,follow up,475779,04:24:31,05:27:15,475779,user,23536,contact,322607,2025-01-01 17:54:45,475779,2025-01-01 17:54:45,475779,,04:24:31,04:24:31,05:27:15,05:27:15,04:24:31,0,1
1738686217624998,2025-02-04 17:23:37,2025-02-07 09:01:41,251859728,475779,9,7,2025-02-05 16:36:30,Future Lead,3eme license wants master finance,475779,23:12:53,15:38:04,475779,user,23536,contact,345296,2025-02-04 17:23:45,475779,2025-02-04 17:23:45,475779,00:00:07,23:12:46,23:12:45,15:37:56,15:37:56,21:49:03,1,2
1738171435313998,2025-01-29 18:23:55,2025-02-07 09:23:08,250255059,475779,30,23,2025-01-30 10:35:30,To follow up,april,475779,16:11:35,14:59:13,475779,user,23536,contact,322607,2025-01-29 18:24:07,475779,2025-01-29 18:24:07,475779,00:00:12,16:11:24,16:11:23,14:59:01,14:59:01,12:01:28,1,11
1740233576334998,2025-02-22 15:12:56,2025-02-22 16:28:52,251439679,475779,0,1,,Unqualified,spam,415649,,01:15:56,475779,user,23513,contact,355501,2025-02-22 15:12:56,,2025-02-22 15:12:56,475779,,,,01:15:56,01:15:56,,0,0
1740047631999998,2025-02-20 11:33:51,2025-02-22 16:29:08,254450335,415266,0,3,,Spam,spam,415649,,04:55:16,415266,user,23513,contact,352020,2025-02-20 11:33:51,,2025-02-20 11:33:51,415266,,,,04:55:16,04:55:16,,0,0
1731255327137998,2024-11-10 17:15:27,2024-11-11 08:10:28,231905804,475775,0,3,,,,475775,,14:55:01,475775,blocked,,contact,345296,2024-11-10 17:15:36,,2024-11-10 17:15:36,475775,00:00:09,,,14:54:51,14:54:51,,1,0
1740251530999998,2025-02-22 20:12:10,2025-02-23 02:51:00,254450335,415266,0,1,,Spam,h,415649,,06:38:49,415266,user,23513,contact,352020,2025-02-22 20:12:10,,2025-02-22 20:12:10,415266,,,,06:38:49,06:38:49,,0,0
1740257150583998,2025-02-22 21:45:50,2025-02-23 02:51:08,255672561,415649,0,1,,Unqualified,h,415649,,05:05:17,415649,user,23513,contact,322607,2025-02-22 21:45:50,,2025-02-22 21:45:50,415649,,,,05:05:17,05:05:17,,0,0
1737713890733998,2025-01-24 11:18:10,2025-01-25 09:34:38,248604103,475775,5,10,2025-01-24 17:32:00,Future Lead,Future future lead,475775,06:13:49,22:16:27,475775,user,23536,contact,322607,2025-01-24 11:18:24,475775,2025-01-24 11:18:24,475775,00:00:13,06:13:38,06:13:35,22:16:13,22:16:13,03:18:54,1,2
1736703439546998,2025-01-12 18:37:19,2025-01-25 15:13:20,245686055,475779,7,5,2025-01-13 10:18:51,Cancelled,probably el fees sadmouha,475779,15:41:31,20:36:01,475779,user,23536,contact,322607,2025-01-12 18:37:30,475779,2025-01-12 18:37:30,475779,00:00:10,15:41:22,15:41:21,20:35:50,20:35:50,02:17:38,1,3
1737744770999998,2025-01-24 19:52:50,2025-01-25 19:44:01,248714603,475775,4,5,2025-01-25 09:32:39,To follow up,Demain,475775,13:39:48,23:51:10,475775,user,23536,contact,352020,2025-01-24 19:53:02,475775,2025-01-24 19:53:02,475775,00:00:11,13:39:38,13:39:36,23:50:59,23:50:59,13:39:48,1,1
